"id","name","color","group","degree","pagerank","object_id","triangles","eccentricity","closeness.centrality","betweenness.centrality","eigenvector.centrality","our.louvain"
"BOB","BOB","#1FAA54",3,13,0.0314416718700857,"5241802",36,3,1.96363636363636,368.073809523809,0,1
"TRUCKER","TRUCKER","#00B9DB",4,2,0.00946555806712501,"5242769",1,4,2.58181818181818,0,0,2
"GERARD","GERARD","#FFD12B",2,3,0.0100840525054463,"5244651",3,4,2.52727272727273,0,0,2
"NORMA","NORMA","#3E85FA",1,5,0.0185490432247021,"5242899",7,4,2.47272727272727,25.3333333333333,0,3
"DOC","DOC","#00B9DB",4,4,0.0118132665865128,"5243253",6,4,2.49090909090909,0,0,2
"OLD GUY","OLD GUY","#7A40BB",0,3,0.00910008224913996,"5240748",3,5,3.50909090909091,0,0,4
"COOPER","COOPER","#1FAA54",3,13,0.0368627313389639,"5241354",34,4,2.41818181818182,120.807936507937,0,1
"JACQUES","JACQUES","#3E85FA",1,7,0.0220901516104284,"5243865",8,4,2.27272727272727,47.6888888888889,0,2
"TERESA","TERESA","#3E85FA",1,4,0.0117846256794119,"5244729",4,4,2.49090909090909,2.41666666666667,0,2
"EILEEN","EILEEN","#00B9DB",4,4,0.0142155684623835,"5242304",6,4,2.49090909090909,0,0,2
"IRENE","IRENE","#7A40BB",0,3,0.00910008224913996,"5240668",3,5,3.50909090909091,0,0,4
"SPARKY","SPARKY","#3E85FA",1,1,0.00621122558221068,"5244431",0,5,3.43636363636364,0,0,3
"WOMAN","WOMAN","#3E85FA",1,1,0.00498720166741338,"5243103",0,4,2.61818181818182,0,0,2
"DESMOND","DESMOND","#7A40BB",0,8,0.0458584635737516,"5239961",9,4,2.6,106.712698412698,0,4
"HAROLD","HAROLD","#3E85FA",1,1,0.00498720166741338,"5242490",0,4,2.61818181818182,0,0,2
"CLIFF","CLIFF","#7A40BB",0,6,0.0174103345134919,"5240274",6,4,2.21818181818182,257.792857142857,0,4
"BOBBY","BOBBY","#3E85FA",1,4,0.016476074337584,"5242190",3,4,2.4,10.7992063492063,0,2
"MAN FROM ANOTHER PLACE","MAN FROM ANOTHER PLACE","#1FAA54",3,9,0.0241164743593281,"5241797",29,4,2.58181818181818,21.3333333333333,0,1
"JACOBY","JACOBY","#3E85FA",1,1,0.00498720166741338,"5245698",0,4,2.61818181818182,0,0,2
"SHELLY","SHELLY","#3E85FA",1,7,0.0254940084756909,"5242903",8,4,2.43636363636364,46.4777777777778,0,3
"ED","ED","#3E85FA",1,6,0.0249348559089743,"5242922",6,4,2.45454545454545,107,0,3
"RIGHT","RIGHT","#1FAA54",3,3,0.00884335484626124,"5241611",3,5,3.32727272727273,0,0,1
"TOAD","TOAD","#3E85FA",1,2,0.00892800632040642,"5243036",1,5,3.4,0,0,3
"SARAH","SARAH","#3E85FA",1,4,0.0208055141809638,"5242438",4,4,2.29090909090909,14.6,0,2
"CARL","CARL","#7A40BB",0,5,0.0203889685279446,"5240882",4,4,2.63636363636364,58.7,0,4
"JAMES","JAMES","#3E85FA",1,3,0.0141782368763958,"5242170",2,4,2.52727272727273,1.5,0,2
