"journal_name","type","person","unified_name","role","degree","position","affiliation","person_reserved","role_unified","gender","country","city","affiliation_unified","expertise","expertise_multiple"
"женщина в российском обществе","РЕДАКЦИОННЫЙ СОВЕТ","Рябов Олег Вячеславович","рябов олег вячеславович"," ","Доктор философских наук","профессор, ведущий научный сотрудник Института истории и социальных наук Российского государственного педагогического университета им. А. И. Герцена"," Российский государственный педагогический университет им. А. И. Герцена","Рябов Олег Вячеславович___ +++Доктор философских наук---профессор, ведущий научный сотрудник Института истории и социальных наук Российского государственного педагогического университета им. А. И. Герцена=== Российский государственный педагогический университет им. А. И. Герцена*** ","regular","m","Россия","Санкт-Петербург","российский государственный педагогический университет им. а.и. герцена","философия",0
"коммуникология","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","РЮМШИН Сергей Анатольевич","рюмшин сергей анатольевич","ответственный секретарь"," "," "," ","РЮМШИН Сергей Анатольевич___ответственный секретарь+++ --- === *** ","middle","m","","",NA,NA,NA
"женщина в российском обществе","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Рычихина Наталья Сергеевна","рычихина наталья сергеевна"," ","Кандидат экономических наук","доцент кафедры социологии, социальной работы и управления персоналом","Ивановский государственный университет","Рычихина Наталья Сергеевна___ +++Кандидат экономических наук---доцент кафедры социологии, социальной работы и управления персоналом===Ивановский государственный университет*** ","regular","f","Россия","Иваново","ивановский государственный университет","экономика",0
"вестник удмуртского университета. социология. политология. международные отношения","РЕДАКЦИОННЫЙ СОВЕТ","Рыхтик Михаил Иванович","рыхтик михаил иванович"," ","доктор полит. наук","доцент, профессор РАН, директор Института международных отношений и мировой истории, проректор","Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского","Рыхтик Михаил Иванович___ +++доктор полит. наук---доцент, профессор РАН, директор Института международных отношений и мировой истории, проректор===Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского***Нижний Новгород, Россия","regular","m","Россия","Нижний Новгород","национальный исследовательский нижегородский государственный университет","политология",0
"урбанистика","РЕДАКЦИОННЫЙ СОВЕТ","Рылева Анна Николаевна","рылева анна николаевна"," ","доктор культурологиии","главный научный сотрудник и руководитель Центра непрерывного культурологического образования","Российский институт культурологии","Рылева Анна Николаевна___ +++доктор культурологиии---главный научный сотрудник и руководитель Центра непрерывного культурологического образования===Российский институт культурологии***Москва ","regular","f","Россия","Москва",NA,"культурология",0
"вестник томского государственного университета. философия. социология. политология","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Рыкун А.Ю.","рыкун а. ю.","зам. главного редактора (социология)","доктор соц. наук","профессор"," ","Рыкун А.Ю.___зам. главного редактора (социология)+++доктор соц. наук---профессор***Томск, Россия","middle","m","Россия","Томск",NA,"социология",0
"ойкумена. регионоведческие исследования","Редакционная коллегия","Рыжова Наталья Петровна","рыжова наталья петровна"," ","доктор экономических наук","профессор, заведующий Приморской лабораторией экономического развития и сотрудничества Института экономических исследований ДВО РАН, профессор академического департамента Дальневосточного федерального университета","Дальневосточный федеральный университет","Рыжова Наталья Петровна___ +++доктор экономических наук---профессор, заведующий Приморской лабораторией экономического развития и сотрудничества Института экономических исследований ДВО РАН, профессор академического департамента Дальневосточного федерального университета===Дальневосточный федеральный университет***Владивосток","regular","f","Россия","Владивосток","дальневосточный федеральный университет","экономика",0
"научное обозрение. серия 2: гуманитарные науки","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Рыбаковский Леонид Леонидович","рыбаковский леонид леонидович"," ","доктор экономических наук","профессор, главный научный сотрудник Центра социальной демографии и экономической социологии Института социально-политических исследований РАН"," ","Рыбаковский Леонид Леонидович___ +++доктор экономических наук---профессор, главный научный сотрудник Центра социальной демографии и экономической социологии Института социально-политических исследований РАН=== ***Москва, Россия","regular","m","Россия","Москва","ИДИ ФНИСЦ РАН","экономика",0
"уровень жизни населения регионов россии","РЕДАКЦИОННЫЙ СОВЕТ","Рыбаковский Леонид Леонидович","рыбаковский леонид леонидович"," ","доктор экономических наук","профессор, главный научный сотрудник","Институт демографических исследований ФНИСЦ РАН","Рыбаковский Леонид Леонидович___ +++доктор экономических наук---профессор, главный научный сотрудник===Институт демографических исследований ФНИСЦ РАН***Россия","regular","m","Россия","Москва","ИДИ ФНИСЦ РАН","экономика",0
"научный результат. социология и управление","Члены редколлегии","Руткевич Елена Дмитриевна","руткевич елена дмитриевна"," ","кандидат философских наук","доцент, главный научный сотрудник","Институт социологии Федерального научно-исследовательского социологического центра Российской академии наук (ФНИСЦ РАН)","Руткевич Елена Дмитриевна___ +++кандидат философских наук---доцент, главный научный сотрудник===Институт социологии Федерального научно-исследовательского социологического центра Российской академии наук (ФНИСЦ РАН)***Москва, Россия","regular","f","Россия","Москва","ИС ФНИСЦ РАН","философия",0
"вестник тюменского государственного университета. социально-экономические и правовые исследования","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Руденко Дмитрий Юрьевич","руденко дмитрий юрьевич"," ","Кандидат экономических наук","доцент","Тюменский государственный университет","Руденко Дмитрий Юрьевич___ +++Кандидат экономических наук---доцент===Тюменский государственный университет*** ","regular","m","Россия","Тюмень","тюменский государственный университет","экономика",0
"наука. культура. общество","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Рубан Лариса Семеновна","рубан лариса семеновна"," ","доктор социологических наук","профессор, зав. отделом, главный научный сотрудник","ИСПИ ФНИСЦ РАН","Рубан Лариса Семеновна___ +++доктор социологических наук---профессор, зав. отделом, главный научный сотрудник===ИСПИ ФНИСЦ РАН***Москва, Россия","regular","f","Россия","Москва","ИСПИ ФНИСЦ РАН","социология",0
"социодинамика","РЕДСОВЕТ","Рощевская Лариса Павловна","рощевская лариса павловна"," ","доктор исторических наук","профессор, отдел гуманитарных междисциплинарных исследований Коми научного центра Уральского Отделения РАН, главный научный сотрудник"," ","Рощевская Лариса Павловна___ +++доктор исторических наук---профессор, отдел гуманитарных междисциплинарных исследований Коми научного центра Уральского Отделения РАН, главный научный сотрудник=== ***Сыктывкар","regular","f","Россия","Сыктывкар","коми научный центр УрО РАН","история",0
"социологическое обозрение","МЕЖДУНАРОДНЫЙ РЕДАКЦИОННЫЙ СОВЕТ","Роулз Энн","роулз энн"," ","PhD","Департамент социологии, профессор"," Университет Бентли","Роулз Энн___ +++PhD---Департамент социологии, профессор=== Университет Бентли***США","regular","f","США","Уолтем","университет бентли",NA,NA
"вестник российского университета дружбы народов. серия: социология","Редколлегия","Ротман Д. Г.","ротман д. г."," ","доктор социологических наук","профессор. Директор Центра социологических и политических исследований Белорусского государственного университета"," Белорусский государственный университет","Ротман Д. Г.___ +++доктор социологических наук---профессор. Директор Центра социологических и политических исследований Белорусского государственного университета=== Белорусский государственный университет***Минск, Белоруссия","regular","m","Беларусь","Минск","белорусский государственный университет",NA,NA
"вестник удмуртского университета. социология. политология. международные отношения","РЕДАКЦИОННЫЙ СОВЕТ","Ростовская Тамара Керимовна","ростовская тамара керимовна"," ","доктор социол. наук","профессор, заместитель директора по научной работе Института демографических исследований Федерального научно-исследовательского социологического центра РАН"," ","Ростовская Тамара Керимовна___ +++доктор социол. наук---профессор, заместитель директора по научной работе Института демографических исследований Федерального научно-исследовательского социологического центра РАН=== ***Москва, Россия","regular","f","Россия","Москва","ИДИ ФНИСЦ РАН","социология",0
"вестник южно-российского государственного технического университета (нпи). серия: социально-экономические науки","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Ростовская Тамара Керимовна","ростовская тамара керимовна"," ","доктор социологических наук","профессор, заместитель директора Института демографических исследований","Федеральный научно-исследовательский социологический центр РАН","Ростовская Тамара Керимовна___ +++доктор социологических наук---профессор, заместитель директора Института демографических исследований===Федеральный научно-исследовательский социологический центр РАН***Москва, Россия","regular","f","Россия","Москва","ИДИ ФНИСЦ РАН","социология",0
"социальные и гуманитарные знания","РЕДКОЛЛЕГИЯ","Ростовская Тамара Керимовна","ростовская тамара керимовна"," ","доктор социологических наук","профессор, главный научный сотрудник","Институт демографических исследований ФНИСЦ РАН","Ростовская Тамара Керимовна___ +++доктор социологических наук---профессор, главный научный сотрудник===Институт демографических исследований ФНИСЦ РАН***РоссияСизова Ирина Леонидовна___ +++доктор социологических наук---профессор===Санкт-Петербургский государственный университет***Россия","regular","f","Россия","Москва","ИДИ ФНИСЦ РАН","социология",0
"социальное пространство","РЕДСОВЕТ","Россошанская Елена Андреевна","россошанская елена андреевна"," ","Кандидат экономических наук","Старший научный сотрудник","ФГБУН ВолНЦ РАН","Россошанская Елена Андреевна___ +++Кандидат экономических наук---Старший научный сотрудник===ФГБУН ВолНЦ РАН***Вологда, Россия","regular","f","Россия","Вологда","вологодский научный центр РАН","экономика",0
"дискурс","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Росенко Светлана Ивановна","росенко светлана ивановна"," ","д-р социол. наук","проф. каф. социальных технологий, декана Социально-гуманитарного факультета Национального государственного университета физической культуры, спорта и здоровья имени П. Ф. Лесгафта"," Национальный государственный университет физической культуры, спорта и здоровья имени П. Ф. Лесгафта","Росенко Светлана Ивановна___ +++д-р социол. наук---проф. каф. социальных технологий, декана Социально-гуманитарного факультета Национального государственного университета физической культуры, спорта и здоровья имени П. Ф. Лесгафта=== Национальный государственный университет физической культуры, спорта и здоровья имени П. Ф. Лесгафта***Санкт-Петербург, Россия","regular","f","Россия","Санкт-Петербург","национальный государственный университет физической культуры, спорта и здоровья","социология",0
"вестник тюменского государственного университета. социально-экономические и правовые исследования","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Ромашкина Гульнара Фатыховна","ромашкина гульнара фатыховна"," ","Доктор социологических наук","профессор","Тюменский государственный университет","Ромашкина Гульнара Фатыховна___ +++Доктор социологических наук---профессор===Тюменский государственный университет*** ","regular","f","Россия","Тюмень","тюменский государственный университет","социология",0
"социальное пространство","РЕДКОЛЛЕГИЯ","Ромашкина Гульнара Фатыховна","ромашкина гульнара фатыховна"," ","Доктор социологических наук","Профессор","Тюменский государственный университет","Ромашкина Гульнара Фатыховна___ +++Доктор социологических наук---Профессор===Тюменский государственный университет***Тюмень, Россия","regular","f","Россия","Тюмень","тюменский государственный университет","социология",0
"социологические исследования","Редакционная коллегия","РОМАНОВСКИЙ Н. В.","романовский н. в.","зам. главного редактора","д.ист.н.","проф."," ","РОМАНОВСКИЙ Н. В.___зам. главного редактора+++д.ист.н.---проф.=== *** ","middle","m","","",NA,NA,NA
"социологические исследования","РЕДАКЦИЯ","РОМАНОВСКИЙ Н. В. ","романовский н. в."," "," "," "," ","РОМАНОВСКИЙ Н. В. ___ +++ --- === ***  ","regular","m","","",NA,NA,NA
"общество: социология, психология, педагогика","Редакционная коллегия","Романовская Ольга Алексеевна","романовская ольга алексеевна"," ","Доктор социологических наук","профессор кафедры социальной информатики","Саратовский национальный исследовательский государственный университет им. Н.Г. Чернышевского","Романовская Ольга Алексеевна___ +++Доктор социологических наук---профессор кафедры социальной информатики===Саратовский национальный исследовательский государственный университет им. Н.Г. Чернышевского*** ","regular","f","Россия","Саратов","саратовский государственный университет","социология",0
"теория и практика общественного развития","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Романовская Ольга Алексеевна","романовская ольга алексеевна"," ","доктор социологических наук","профессор кафедры социальной информатики","Саратовский национальный исследовательский государственный университет им. Н.Г. Чернышевского","Романовская Ольга Алексеевна___ +++доктор социологических наук---профессор кафедры социальной информатики===Саратовский национальный исследовательский государственный университет им. Н.Г. Чернышевского*** ","regular","f","Россия","Саратов","саратовский государственный университет","социология",0
"наука. культура. общество","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Романович Нелли Александровна","романович нелли александровна"," ","доктор социологических наук"," ","Воронежский филиал РАНХиГС при Президенте РФ","Романович Нелли Александровна___ +++доктор социологических наук--- ===Воронежский филиал РАНХиГС при Президенте РФ***Воронеж, Россия","regular","f","Россия","Воронеж","российская академия народного хозяйства и государственной службы при президенте рф (воронеж)","социология",0
"социология медицины","Редакционная коллегия","Романов Сергей Владимирович","романов сергей владимирович"," ","доктор медицинских наук","доцент, директор","ФБУЗ «Приволжский окружной медицинский центр» Федерального медико-биологического агентства","Романов Сергей Владимирович___ +++доктор медицинских наук---доцент, директор===ФБУЗ «Приволжский окружной медицинский центр» Федерального медико-биологического агентства***Россия","regular","m","Россия","Нижний Новгород"," ","медицина",0
"известия высших учебных заведений. социология. экономика. политика","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Рой Олег Михайлович","рой олег михайлович"," ","д. с. н.","профессор, зав. кафедрой региональной экономики и управления территориями Омского государственного университета им. Ф. М. Достоевского"," ","Рой Олег Михайлович___ +++д. с. н.---профессор, зав. кафедрой региональной экономики и управления территориями Омского государственного университета им. Ф. М. Достоевского=== ***","regular","m","Россия","Омск","омский государственный университет","социология",0
"primo aspectu","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Розов Николай Христович","розов николай христович"," "," доктор физико-математических наук","декан факультета педагогического образования МГУ им. М. В. Ломоносова, профессор член-корреспондент РАО, Заслуженный работник высшей школы РФ, Лауреат премий Правительства Российской Федерации в области образования","МГУ им. М. В. Ломоносова","Розов Николай Христович___ +++ доктор физико-математических наук---декан факультета педагогического образования МГУ им. М. В. Ломоносова, профессор член-корреспондент РАО, Заслуженный работник высшей школы РФ, Лауреат премий Правительства Российской Федерации в области образования===МГУ им. М. В. Ломоносова***Россия","regular","m","Россия","Москва","мгу имени м.в. ломоносова","физика-математика",0
"social evolution and history","Редакционный совет","Nikolay Rozov","розов н. с."," "," "," ","Novosibirsk State University","Nikolay Rozov___ +++ --- ===Novosibirsk State University*** ","regular","m","Россия","Новосибирск","новосибирский государственный университет","философия",0
"сибирский философский журнал","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Розов Н. С. ","розов н. с."," ","доктор философских наук","профессор, зав. каф. социальной философии и политологии ИФП НГУ"," ","Розов Н. С. ___ +++доктор философских наук---профессор, зав. каф. социальной философии и политологии ИФП НГУ=== *** ","regular","m","Россия","Новосибирск","новосибирский государственный университет","философия",0
"теория и практика общественного развития","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Роздольская Ирина Владимировна","роздольская ирина владимировна"," ","доктор экономических наук","профессор, заведующая кафедрой маркетинга и менеджмента","Белгородский университет кооперации, экономики и права","Роздольская Ирина Владимировна___ +++доктор экономических наук---профессор, заведующая кафедрой маркетинга и менеджмента===Белгородский университет кооперации, экономики и права*** ","regular","f","Россия","Белгород","белгородский университет кооперации, экономики и права","экономика",0
"известия высших учебных заведений. поволжский регион. общественные науки","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Рожкова Лилия Валерьевна","рожкова лилия валерьевна","заместитель главного редактора","доктор социологических наук","профессор, заведующий кафедрой экономической теории и международных отношений","Пензенский государственный университет","Рожкова Лилия Валерьевна___заместитель главного редактора+++доктор социологических наук---профессор, заведующий кафедрой экономической теории и международных отношений===Пензенский государственный университет*** ","middle","f","Россия","Пенза","пензенский государственный университет","социология",0
"поиск: политика. обществоведение. искусство. социология. культура","РЕДКОЛЛЕГИЯ","Рожкова Лилия Валерьевна","рожкова лилия валерьевна"," ","доктор социологических наук","профессор, Заведующий кафедрой Пензенского государственного университета"," ","Рожкова Лилия Валерьевна___ +++доктор социологических наук---профессор, Заведующий кафедрой Пензенского государственного университета=== *** ","regular","f","Россия","Пенза","пензенский государственный университет","социология",0
"социодинамика","РЕДСОВЕТ","Рожкова Лилия Валерьевна","рожкова лилия валерьевна"," ","доктор социологических наук"," Заведующий кафедрой ""Экономическая теория и международные отношения""","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Пензенский государственный университет""","Рожкова Лилия Валерьевна___ +++доктор социологических наук--- Заведующий кафедрой ""Экономическая теория и международные отношения""===Федеральное государственное бюджетное образовательное учреждение высшего образования ""Пензенский государственный университет""***Пенза, Россия","regular","f","Россия","Пенза","пензенский государственный университет","социология",0
"урбанистика","РЕДАКЦИОННЫЙ СОВЕТ","Рожкова Лилия Валерьевна","рожкова лилия валерьевна"," ","доктор социологических наук","Заведующий кафедрой ""Экономическая теория и международные отношения""","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Пензенский государственный университет""","Рожкова Лилия Валерьевна___ +++доктор социологических наук---Заведующий кафедрой ""Экономическая теория и международные отношения""===Федеральное государственное бюджетное образовательное учреждение высшего образования ""Пензенский государственный университет""***Пенза","regular","f","Россия","Пенза","пензенский государственный университет","социология",0
"интеракция. интервью. интерпретация","Редакционная коллегия","РОЖДЕСТВЕНСКАЯ Елена Юрьевна","рождественская елена юрьевна"," ","доктор социологических наук","профессор, Национальный исследовательский университет «Высшая школа экономики»; ведущий научный сотрудник, Институт социологии ФНИСЦ РАН"," ","РОЖДЕСТВЕНСКАЯ Елена Юрьевна___ +++доктор социологических наук---профессор, Национальный исследовательский университет «Высшая школа экономики»; ведущий научный сотрудник, Институт социологии ФНИСЦ РАН=== ***Москва, Россия","middle","f","Россия","Москва","ИС ФНИСЦ РАН","социология",0
"laboratorium: журнал социальных исследований"," РЕДАКЦИОННЫЙ СОВЕТ","Рожанский Михаил","рожанский михаил"," "," "," ","Центр независимых социальных исследований и образования","Рожанский Михаил___ +++ --- ===Центр независимых социальных исследований и образования***Иркутск","regular","m","Россия","Иркутск","центр независимых социальных исследований","философия",0
"экономика. социология. право","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Рогова Елена Моисеевна","рогова елена моисеевна"," ","доктор экономических наук","профессор, профессор департамента финансов, декан факультета «Санкт-Петербургская школа экономики и менеджмента» Санкт-Петербургского филиала ФГАОУ ВО «Национальный исследовательский университет «Высшая школа экономики»"," ","Рогова Елена Моисеевна___ +++доктор экономических наук---профессор, профессор департамента финансов, декан факультета «Санкт-Петербургская школа экономики и менеджмента» Санкт-Петербургского филиала ФГАОУ ВО «Национальный исследовательский университет «Высшая школа экономики»=== ***Санкт-Петербург, Россия","regular","f","Россия","Санкт-Петербург","высшая школа экономики (санкт-петербург)","экономика",0
"наука. культура. общество","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Рогачев Сергей Владимирович","рогачев сергей владимирович"," ","доктор экономических наук","профессор","ИСПИ ФНИСЦ РАН","Рогачев Сергей Владимирович___ +++доктор экономических наук---профессор===ИСПИ ФНИСЦ РАН***Москва, Россия","regular","m","Россия","Москва","ИСПИ ФНИСЦ РАН","экономика",0
"уровень жизни населения регионов россии","ЗАРУБЕЖНЫЕ ЧЛЕНЫ РЕДАКЦИОННОГО СОВЕТА","Риччери, Марко","риччери, марко"," ","доктор политических наук","профессор, генеральный директор Института политических, экономических и социальных исследований"," Институт политических, экономических и социальных исследований","Риччери, Марко___ +++доктор политических наук---профессор, генеральный директор Института политических, экономических и социальных исследований=== Институт политических, экономических и социальных исследований***Италия","regular","m","Италия","Милан","университет милана",NA,NA
"известия тульского государственного университета. гуманитарные науки","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Римский В. П.","римский в. п."," ","д-р филос. наук"," ","Белгородский государственный институт искусства и культуры","Римский В. П.___ +++д-р филос. наук--- ===Белгородский государственный институт искусства и культуры***Белгород","regular","m","Россия","Белгород","белгородский государственный институт искусства и культуры","философия",0
"ойкумена. регионоведческие исследования","Редакционная коллегия","Римская Татьяна Григорьевна","римская татьяна григорьевна"," ","кандидат исторических наук","доцент"," ","Римская Татьяна Григорьевна___ +++кандидат исторических наук---доцент ***Находка","regular","f","Россия","Находка",NA,"история",0
"научный результат. социология и управление","Члены редколлегии","Рикуччи Роберта","рикуччи роберта"," ","доктор социологических наук, доцент","Председатель программы «SAR – Социология и антропология религии» Американской антропологической ассо","Туринский университет","Рикуччи Роберта___ +++доктор социологических наук, доцент---Председатель программы «SAR – Социология и антропология религии» Американской антропологической ассо===Туринский университет***Турин, Италия","regular","f","Италия","Турин","туринский университет",NA,NA
"laboratorium: журнал социальных исследований"," РЕДАКЦИОННЫЙ СОВЕТ","Ривкин-Фиш Мишель","ривкин­фиш мишель"," "," "," ","Университет Северной Каролины в Чапел-Хилл","Ривкин-Фиш Мишель___ +++ --- ===Университет Северной Каролины в Чапел-Хилл***","regular","f","США","Чапел-Хилл","университет северной каролины в чапел­хилле",NA,NA
"журнал исследований социальной политики","%РЕДАКЦИОННЫЙ СОВЕТ","Ривкин­Фиш Мишель","ривкин­фиш мишель"," ","PhD"," ","Университет Северной Каролины в Чапел­Хилле","Ривкин­Фиш Мишель___ +++PhD--- ===Университет Северной Каролины в Чапел­Хилле***США","regular","f","США","Чапел-Хилл","университет северной каролины в чапел­хилле",NA,NA
"демографическое обозрение","РЕДАКЦИЯ","Решетников Кирилл Владимирович","решетников кирилл владимирович","Технический редактор, верстка"," ","Институт демографии","НИУ ВШЭ","Решетников Кирилл Владимирович___Технический редактор, верстка+++ ---Институт демографии===НИУ ВШЭ***","middle","m","Россия","Москва","высшая школа экономики (москва)","-",0
"вестник томского государственного университета. философия. социология. политология","РЕДАКЦИОННЫЙ СОВЕТ","Ренч Томас","ренч томас"," "," "," ","Технический университет","Ренч Томас___ +++ --- ===Технический университет***Дрезден, ФРГ","regular","m","Германия","Дрезден","технический университет",NA,NA
"вестник рггу. серия: философия. социология. искусствоведение","РЕДАКЦИОННАЯ КОЛЛЕГИЯ","Резниченко Анна Игоревна","резниченко анна игоревна","заместитель главного редактора","доктор философских наук","профессор","Российский государственный гуманитарный университет (РГГУ)","Резниченко Анна Игоревна___заместитель главного редактора+++доктор философских наук---профессор===Российский государственный гуманитарный университет (РГГУ)***Москва, Российская Федерация","middle","f","Россия","Москва","российский государственный гуманитарный университет","философия",0
